distance,timestamp,altitude,calories,enhanced_altitude,heart_rate,position_lat,position_long,cadence,fractional_cadence,enhanced_speed,power,speed
496.41,2024-09-21 20:34:07,10.0,0.0,10.0,,163677744.0,1199713383.0,82.0,0.0,,,
499.63,2024-09-21 20:34:08,10.0,0.0,10.0,,163677364.0,1199713248.0,82.0,0.0,3.726,260.0,3.726
503.93,2024-09-21 20:34:09,10.0,0.0,10.0,,163676986.0,1199713115.0,82.0,0.0,,,
508.23,2024-09-21 20:34:10,10.0,0.0,10.0,163.0,163676610.0,1199712989.0,94.0,0.0,3.695,258.0,3.695
511.55,2024-09-21 20:34:11,10.199999999999989,0.0,10.199999999999989,,163676232.0,1199712867.0,94.0,0.0,,,
514.87,2024-09-21 20:34:12,10.199999999999989,0.0,10.199999999999989,,163675852.0,1199712748.0,94.0,0.0,,,
518.19,2024-09-21 20:34:13,10.199999999999989,0.0,10.199999999999989,,163675470.0,1199712632.0,82.0,0.0,3.686,258.0,3.686
522.67,2024-09-21 20:34:14,10.199999999999989,0.0,10.199999999999989,162.0,163675086.0,1199712517.0,82.0,0.0,,,
527.14,2024-09-21 20:34:15,10.199999999999989,0.0,10.199999999999989,,163674702.0,1199712404.0,82.0,0.0,3.666,256.0,3.666
530.17,2024-09-21 20:34:16,10.199999999999989,0.0,10.199999999999989,,163674317.0,1199712290.0,82.0,0.0,,,
533.2,2024-09-21 20:34:17,10.399999999999977,0.0,10.399999999999977,163.0,163673931.0,1199712174.0,82.0,0.0,,,
536.24,2024-09-21 20:34:18,10.399999999999977,0.0,10.399999999999977,,163673547.0,1199712051.0,82.0,0.0,3.636,254.0,3.636
540.61,2024-09-21 20:34:19,10.399999999999977,0.0,10.399999999999977,,163673167.0,1199711922.0,82.0,0.0,,,
544.98,2024-09-21 20:34:20,10.399999999999977,0.0,10.399999999999977,,163672790.0,1199711790.0,94.0,0.0,3.596,251.0,3.596
548.32,2024-09-21 20:34:21,10.399999999999977,0.0,10.399999999999977,,163672415.0,1199711659.0,94.0,0.0,,,
551.67,2024-09-21 20:34:22,10.399999999999977,0.0,10.399999999999977,,163672042.0,1199711529.0,94.0,0.0,,,
